nome;período;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-de-jovens;homicidios-homens;homicidios-homens-nao-negros;homicidios-de-jovens-homens;homicidios-de-homens-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios-mulheres-negras;homicidios;homicidios-de-jovens-mulheres;homicidios-mulheres-nao-negras;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo
AC;1979;;;;;;;14;;;;;0;;;;13
AL;1979;;;;;;;104;;;;;6;;;;131
AM;1979;;;;;;;80;;;;;4;;;;55
AP;1979;;;;;;;7;;;;;1;;;;5
BA;1979;;;;;;;114;;;;;17;;;;116
CE;1979;;;;;;;128;;;;;17;;;;85
DF;1979;;;;;;;49;;;;;4;;;;28
ES;1979;;;;;;;93;;;;;11;;;;82
GO;1979;;;;;;;125;;;;;18;;;;163
MA;1979;;;;;;;30;;;;;5;;;;34
MG;1979;;;;;;;404;;;;;73;;;;435
MS;1979;;;;;;;52;;;;;6;;;;62
MT;1979;;;;;;;4;;;;;0;;;;2
PA;1979;;;;;;;127;;;;;19;;;;117
PB;1979;;;;;;;74;;;;;12;;;;71
PE;1979;;;;;;;346;;;;;41;;;;297
PI;1979;;;;;;;12;;;;;4;;;;7
PR;1979;;;;;;;276;;;;;38;;;;379
RJ;1979;;;;;;;1203;;;;;69;;;;1726
RN;1979;;;;;;;40;;;;;6;;;;46
RO;1979;;;;;;;35;;;;;3;;;;50
RR;1979;;;;;;;2;;;;;1;;;;2
RS;1979;;;;;;;226;;;;;20;;;;193
SC;1979;;;;;;;70;;;;;5;;;;79
SE;1979;;;;;;;21;;;;;4;;;;22
SP;1979;;;;;;;1061;;;;;135;;;;570
TO;1979;;;;;;;0;;;;;0;;;;0
AC;1980;;;;;;;14;;;;;2;;;;12
AL;1980;;;;;;;112;;;;;19;;;;148
AM;1980;;;;;;;64;;;;;9;;;;46
AP;1980;;;;;;;6;;;;;0;;;;2
BA;1980;;;;;;;112;;;;;18;;;;139
CE;1980;;;;;;;181;;;;;11;;;;159
DF;1980;;;;;;;67;;;;;7;;;;21
ES;1980;;;;;;;113;;;;;16;;;;122
GO;1980;;;;;;;155;;;;;28;;;;226
MA;1980;;;;;;;34;;;;;7;;;;29
MG;1980;;;;;;;444;;;;;51;;;;466
MS;1980;;;;;;;77;;;;;10;;;;118
MT;1980;;;;;;;12;;;;;1;;;;22
PA;1980;;;;;;;143;;;;;19;;;;169
PB;1980;;;;;;;106;;;;;13;;;;127
PE;1980;;;;;;;446;;;;;55;;;;613
PI;1980;;;;;;;25;;;;;3;;;;6
PR;1980;;;;;;;291;;;;;35;;;;367
RJ;1980;;;;;;;1531;;;;;104;;;;2093
RN;1980;;;;;;;75;;;;;5;;;;77
RO;1980;;;;;;;39;;;;;4;;;;67
RR;1980;;;;;;;3;;;;;2;;;;0
RS;1980;;;;;;;268;;;;;23;;;;227
SC;1980;;;;;;;103;;;;;11;;;;119
SE;1980;;;;;;;26;;;;;6;;;;30
SP;1980;;;;;;;1678;;;;;171;;;;699
TO;1980;;;;;;;0;;;;;0;;;;0
AC;1981;;;;;;;13;;;;;1;;;;8
AL;1981;;;;;;;121;;;;;27;;;;190
AM;1981;;;;;;;73;;;;;7;;;;52
AP;1981;;;;;;;9;;;;;2;;;;4
BA;1981;;;;;;;113;;;;;15;;;;124
CE;1981;;;;;;;194;;;;;23;;;;187
DF;1981;;;;;;;71;;;;;11;;;;81
ES;1981;;;;;;;149;;;;;28;;;;130
GO;1981;;;;;;;211;;;;;28;;;;268
MA;1981;;;;;;;58;;;;;6;;;;54
MG;1981;;;;;;;410;;;;;72;;;;374
MS;1981;;;;;;;81;;;;;14;;;;147
MT;1981;;;;;;;33;;;;;7;;;;38
PA;1981;;;;;;;144;;;;;25;;;;171
PB;1981;;;;;;;114;;;;;13;;;;133
PE;1981;;;;;;;567;;;;;69;;;;758
PI;1981;;;;;;;25;;;;;3;;;;23
PR;1981;;;;;;;323;;;;;37;;;;451
RJ;1981;;;;;;;1247;;;;;79;;;;1774
RN;1981;;;;;;;67;;;;;10;;;;80
RO;1981;;;;;;;39;;;;;7;;;;67
RR;1981;;;;;;;8;;;;;3;;;;2
RS;1981;;;;;;;298;;;;;29;;;;237
SC;1981;;;;;;;103;;;;;10;;;;105
SE;1981;;;;;;;32;;;;;3;;;;36
SP;1981;;;;;;;2166;;;;;176;;;;958
TO;1981;;;;;;;0;;;;;0;;;;0
AC;1982;;;;;;;16;;;;;2;;;;18
AL;1982;;;;;;;152;;;;;15;;;;185
AM;1982;;;;;;;68;;;;;8;;;;58
AP;1982;;;;;;;9;;;;;1;;;;8
BA;1982;;;;;;;164;;;;;36;;;;211
CE;1982;;;;;;;200;;;;;14;;;;149
DF;1982;;;;;;;98;;;;;6;;;;101
ES;1982;;;;;;;138;;;;;12;;;;114
GO;1982;;;;;;;211;;;;;29;;;;226
MA;1982;;;;;;;60;;;;;2;;;;62
MG;1982;;;;;;;395;;;;;61;;;;346
MS;1982;;;;;;;93;;;;;12;;;;154
MT;1982;;;;;;;17;;;;;2;;;;24
PA;1982;;;;;;;150;;;;;16;;;;176
PB;1982;;;;;;;100;;;;;16;;;;112
PE;1982;;;;;;;601;;;;;49;;;;788
